0.59430810	0.67119700	0.66609200	0.67994100	0.93359400	0.69997100	0.58372100	0.7750
0.60527770	0.63237300	0.62459900	0.64612500	0.83660200	0.67849800	0.62145100	0.6760
0.59592235	0.65345100	0.64849900	0.66237200	0.89785600	0.68413900	0.60035800	0.7190
0.59583945	0.64645300	0.64108600	0.65626700	0.87167600	0.68029600	0.59367100	0.7098
0.60016605	0.63831800	0.63265200	0.64871700	0.86303200	0.67453900	0.59574400	0.6994
0.60010940	0.64187200	0.63614700	0.65240100	0.86419500	0.67858900	0.61115800	0.7081
0.59631740	0.64982300	0.64483200	0.65892800	0.88356000	0.68143200	0.60441500	0.7313
0.59876075	0.62650300	0.61872200	0.64017200	0.82529900	0.67180000	0.61190100	0.6853
0.59742615	0.64985200	0.64439200	0.65992000	0.86843400	0.68513700	0.60542900	0.6929
0.60834040	0.61790400	0.60233100	0.64219800	0.80285900	0.68696000	0.65047800	0.6574
0.59773440	0.66627400	0.66214200	0.67381000	0.94722400	0.69321900	0.58950900	0.7736
